username,no_of_posts,no_of_followers,no_of_following,name,type_of_page,bio
intaglobal,1946,6851,262,INTA,Nonprofit organization,"The association of ™ professionals.
inta.campsite.bio"
_anujsinghal,1785,681000,248,Anuj Singhal,Digital creator,"Managing Editor, CNBC-Awaaz. Most trusted and followed biz anchor in India
Let’s talk about finance and life
Contact: Singhalanuj1010@gmail.com
hindi.cnbctv18.com/market-gurukul"
code_flare,165,216,10,The Journey Notebook | Travel | Food Blogger,Blogger,"📍 Exploring places & phases of life 🌍
.
🍵 From chai breaks to flight takes ✈️
.
💫 Travel | Food | Daily life 🌸
youtube.com/@thejourneynotebook?si=Z1lPUAl-cPgHAP_a"
bangalore_tech_bro,402,12500,890,Rahul | HSR Hustler,Entrepreneur,"🚀 Building the next Unicorn in Fintech
☕ 3rd Wave Coffee addict
💻 Python | React | AI
📍 HSR Layout, BLR
linktr.ee/rahulbuilds"
silkboard_survivor,55,1200,50,Priya D.,Public Figure,"🚦 Stuck in traffic since 2019
🌧️ Loving the Bangalore weather, hating the cabs
🐍 Data Scientist by day, meme maker by night
📍 ORR
bit.ly/my-traffic-rants"
startuphub_blr,2300,45000,120,Startup Hub Bangalore,Media,"🦄 News from the Silicon Valley of India
📢 Funding alerts, Hiring trends, and Drama
📩 DM for features
startuphub.blr/newsletter"
foodie_in_kora,890,5600,400,Sneha | Bangalore Eats,Food & Drink,"Aagrah to Truffles 🍔
Exploring Koramangala's cafe culture ☕
DM for collabs
https://www.google.com/search?q=zomato.com/users/sneha123"
venture_vikram,120,30000,500,Vikram | Angel Investor,Investor,"💸 Helping founders go 0 to 1
Ex-Google, Ex-Amazon
Investing in DeepTech & AI
📍 Indiranagar
vikram.vc/pitch-deck"
python_meetup_blr,60,3400,10,PyBangalore Community,Community,"🐍 Weekly meetups for Pythonistas
📍 Cubbon Park | Sundays 4 PM
Coding + Coffee + Community
https://www.google.com/search?q=meetup.com/pybangalore"
indiranagar_gossip,300,8900,20,Indiranagar Spy,Personal Blog,"Not just about 100ft Road 🤫
Spilling tea on the best brunches and worst landlords
Bengaluru
https://www.google.com/search?q=medium.com/%40indiranagarspy"
ig_arbin07,50,33,30,aarbinnn,Gamer,"@dumb.arbin
🎮: Banana『juice (IGL🥷)
Gamer never die, they just respawn🙂‍↔️"
katiasales2220,107,219,1401,Katia Sales,Alfabetização e Reforço Escolar,"Ensino Fundamental I e II
Preparação para Escola Militar
Português e Matemática
Cursando Psicopedagogia Estácio"
